date,registration,cause
"Jan 23, 1962",2.S.15,Technical failure
"Jan 10, 1962",44-76663,Technical failure
"Jan 6, 1962",HR-TNB,Technical failure
"Jan 4, 1962",WB532,Technical failure
"Jan 2, 1962",EP-ABB,Technical failure
"Dec 21, 1961",G-ARJM,Technical failure
"Dec 19, 1961",49-0239,Technical failure
"Dec 18, 1961",VH-AAH,Technical failure
"Dec 12, 1961",PP-VBM,Technical failure
"Nov 23, 1961",,Technical failure
"Nov 21, 1961",VM372,Technical failure
"Nov 14, 1961",JA5008,Technical failure
"Nov 12, 1961",17219,Technical failure
"Nov 9, 1961",131505,Technical failure
"Nov 1, 1961",G-ANWL,Technical failure
"Oct 24, 1961",PP-PCY,Technical failure
"Oct 14, 1961",PP-PDL,Technical failure
"Oct 14, 1961",,Technical failure
"Oct 12, 1961",XP812,Technical failure
"Oct 12, 1961",,Technical failure
"Oct 10, 1961",FAP317,Technical failure
"Oct 10, 1961",WD498,Technical failure
"Sep 29, 1961",CF-BQH,Technical failure
"Sep 10, 1961",N90773,Technical failure
"Sep 7, 1961",CR-CAD,Technical failure
"Sep 5, 1961",ET-T-16,Technical failure
"Sep 1, 1961",N86511,Technical failure
"Aug 29, 1961",CF-MEX,Technical failure
"Aug 14, 1961",G-AJCE,Technical failure
"Aug 14, 1961",VH-SBQ,Technical failure
"Aug 8, 1961",BV-2,Technical failure
"Aug 5, 1961",BL536,Technical failure
"Aug 3, 1961",N6220C,Technical failure
"Jul 28, 1961",CCCP-75766,Technical failure
"Jul 27, 1961",F-BHSA,Technical failure
"Jul 11, 1961",N8040U,Technical failure
"Jul 8, 1961",CCCP-41848,Technical failure
"Jul 1, 1961",IK459,Technical failure
"Jun 22, 1961",CCCP-75672,Technical failure
"Jun 10, 1961",57-1614,Technical failure
"May 29, 1961",WD497,Technical failure
"May 26, 1961",WV737,Technical failure
"May 24, 1961",51-0174,Technical failure
"May 24, 1961",OD-ACO,Technical failure
"May 22, 1961",F-BHHR,Technical failure
"Apr 27, 1961",F-BESN,Technical failure
"Apr 27, 1961",MM144697,Technical failure
"Apr 8, 1961",VH-PAT,Technical failure
"Apr 7, 1961",53-0380,Technical failure
"Apr 4, 1961",CCCP-01248,Technical failure
"Apr 4, 1961",CF-JNR,Technical failure
"Mar 28, 1961",OK-OAD,Technical failure
"Mar 27, 1961",HB-UIL,Technical failure
"Mar 22, 1961",VH-BIX,Technical failure
"Mar 22, 1961",N5519V,Technical failure
"Mar 16, 1961",CCCP-42438,Technical failure
"Mar 14, 1961",57-0166,Technical failure
"Feb 28, 1961",,Technical failure
"Feb 23, 1961",140378,Technical failure
"Feb 15, 1961",OO-SJB,Technical failure
"Feb 15, 1961",MM52-6011,Technical failure
"Feb 5, 1961",ZK-BHF,Technical failure
"Jan 26, 1961",51-17626,Technical failure
"Jan 24, 1961",58-0187,Technical failure
"Jan 23, 1961",WJ342,Technical failure
"Jan 22, 1961",N1308V,Technical failure
"Jan 2, 1961",079,Technical failure
"Dec 22, 1960",PI-C126,Technical failure
"Dec 21, 1960",N2631B,Technical failure
"Dec 7, 1960",PP-AKF,Technical failure
"Dec 4, 1960",CCCP-52091,Technical failure
"Dec 4, 1960",ZK-BMQ,Technical failure
"Nov 26, 1960",B-130,Technical failure
"Nov 21, 1960",VP-BBN,Technical failure
"Nov 11, 1960",G-ANBC,Technical failure
"Oct 15, 1960",N1300N,Technical failure
"Oct 6, 1960",OO-CJT,Technical failure
"Sep 22, 1960",56541,Technical failure
"Sep 22, 1960",CF-FOJ,Technical failure
"Sep 7, 1960",LV-ADS,Technical failure
"Sep 3, 1960",ZS-CIG,Technical failure
"Sep 1, 1960",YK-AAR,Technical failure
"Aug 24, 1960",VH-EAC,Technical failure
"Aug 24, 1960",G-AMNK,Technical failure
"Aug 20, 1960",CF-CPA,Technical failure
"Aug 17, 1960",55.S.4,Technical failure
"Aug 17, 1960",CCCP-75705,Technical failure
"Aug 15, 1960",PP-SQS,Technical failure
"Jul 31, 1960",D-BELU,Technical failure
"Jul 19, 1960",CP-36,Technical failure
"Jul 14, 1960",N292,Technical failure
"Jul 14, 1960",PI-C16,Technical failure
"Jun 27, 1960",52-2738,Technical failure
"Jun 17, 1960",VW803,Technical failure
"Jun 1, 1960",VV298,Technical failure
"May 25, 1960",EC-AJV,Technical failure
"May 10, 1960",SE 514,Technical failure
"May 5, 1960",HB-FAN,Technical failure
"Apr 19, 1960",XL967,Technical failure
"Apr 15, 1960",52-0919,Technical failure
"Apr 12, 1960",VH-BAB,Technical failure
"Apr 5, 1960",AN-AIN,Technical failure
"Apr 1, 1960",56-0607,Technical failure
"Mar 17, 1960",N121US,Technical failure
"Mar 17, 1960",VH-FMS,Technical failure
"Mar 9, 1960",XM941,Technical failure
"Mar 8, 1960",G-ALDH,Technical failure
"Mar 5, 1960",53-8152,Technical failure
"Mar 5, 1960",G-AMSF,Technical failure
"Feb 29, 1960",N7101C,Technical failure
"Feb 26, 1960",I-DUVO,Technical failure
"Feb 15, 1960",VP535,Technical failure
"Feb 13, 1960",N46Q,Technical failure
"Feb 10, 1960",VH-FIB,Technical failure
"Feb 5, 1960",CP-609,Technical failure
"Jan 29, 1960",CF-PWD,Technical failure
"Jan 22, 1960",VT-ASC,Technical failure
"Jan 15, 1960",CCCP-19405,Technical failure
"Jan 9, 1960",124893,Technical failure
"Jan 5, 1960",G-AMNY,Technical failure
"Jan 3, 1960",N110A,Technical failure
"Dec 24, 1959",PK-GDV,Technical failure
"Dec 22, 1959",G-AMGG,Technical failure
"Dec 16, 1959",N64T,Technical failure
"Dec 12, 1959",LV-ADM,Technical failure
"Dec 5, 1959",,Technical failure
"Dec 1, 1959",YV-C-AKU,Technical failure
"Dec 1, 1959",N6962C,Technical failure
"Nov 28, 1959",,Technical failure
"Nov 24, 1959",WF984,Technical failure
"Nov 22, 1959",VH-UGM,Technical failure
"Nov 4, 1959",CF-ILI,Technical failure
"Oct 30, 1959",SX-BAD,Technical failure
"Oct 26, 1959",N67589,Technical failure
"Oct 6, 1959",PZ-TAG,Technical failure
"Sep 29, 1959",N9705C,Technical failure
"Sep 23, 1959",WJ514,Technical failure
"Sep 15, 1959",17163,Technical failure
"Sep 2, 1959",N5140B,Technical failure
"Aug 10, 1959",54-2682,Technical failure
"Aug 2, 1959",,Technical failure
"Jul 28, 1959",T-53,Technical failure
"Jul 28, 1959",G-AHPH,Technical failure
"Jul 22, 1959",52-2703,Technical failure
"Jul 15, 1959",PP-BEE,Technical failure
"Jul 14, 1959",LV-ACM,Technical failure
"Jul 10, 1959",TI-1020,Technical failure
"Jul 9, 1959",N90941,Technical failure
"Jun 22, 1959",N5026K,Technical failure
"Jun 21, 1959",17525,Technical failure
"Jun 19, 1959",HK-454,Technical failure
"Jun 7, 1959",43-15689,Technical failure
"Jun 2, 1959",O-25,Technical failure
"May 29, 1959",TG522,Technical failure
"May 26, 1959",VM322,Technical failure
"May 14, 1959",CR-ACM,Technical failure
"May 11, 1959",,Technical failure
"May 7, 1959",5404,Technical failure
"Apr 24, 1959",CCCP-84595,Technical failure
"Apr 13, 1959",122984,Technical failure
"Apr 8, 1959",XM287,Technical failure
"Apr 8, 1959",XM288,Technical failure
"Apr 2, 1959",141303,Technical failure
"Mar 31, 1959",17241,Technical failure
"Mar 31, 1959",5878,Technical failure
"Mar 30, 1959",N7840B,Technical failure
"Mar 29, 1959",F-BGZB,Technical failure
"Mar 5, 1959",DM-ZYA,Technical failure
"Mar 5, 1959",YS-09C,Technical failure
"Feb 24, 1959",CF-LKI-X,Technical failure
"Feb 18, 1959",N68823,Technical failure
"Feb 18, 1959",ZK-BUT,Technical failure
"Feb 4, 1959",A89-308,Technical failure
"Jan 31, 1959",,Technical failure
"Jan 27, 1959",1549,Technical failure
"Jan 27, 1959",135529,Technical failure
"Jan 20, 1959",N6674C,Technical failure
"Jan 14, 1959",VW817,Technical failure
"Jan 11, 1959",50-0111,Technical failure
"Dec 22, 1958",CC-CSA-489,Technical failure
"Dec 18, 1958",CS-403,Technical failure
"Dec 11, 1958",VM352,Technical failure
"Dec 9, 1958",56-0633,Technical failure
"Nov 16, 1958",N1301N,Technical failure
"Nov 14, 1958",CN-CCJ,Technical failure
"Nov 13, 1958",SX934,Technical failure
"Nov 11, 1958",LV-FTP,Technical failure
"Nov 10, 1958",N6503C,Technical failure
"Nov 10, 1958",CF-TGL,Technical failure
"Nov 9, 1958",CS-THB,Technical failure
"Oct 22, 1958",142427,Technical failure
"Oct 17, 1958",D-BELA,Technical failure
"Oct 16, 1958",CCCP-65708,Technical failure
"Sep 17, 1958",51-0165,Technical failure
"Sep 16, 1958",55-0065,Technical failure
"Sep 16, 1958",HK-514,Technical failure
"Sep 15, 1958",CF-BSJ,Technical failure
"Sep 10, 1958",16-303,Technical failure
"Sep 9, 1958",43-15345,Technical failure
"Sep 8, 1958",VT-DIA,Technical failure
"Sep 2, 1958",G-AIJE,Technical failure
"Sep 2, 1958",52-1081,Technical failure
"Aug 30, 1958",G-AODE,Technical failure
"Aug 14, 1958",PH-LKM,Technical failure
"Aug 11, 1958",140434,Technical failure
"Aug 5, 1958",TC-BIS,Technical failure
"Jul 17, 1958",HI-16,Technical failure
"Jul 17, 1958",T-22,Technical failure
"Jul 12, 1958",VM359,Technical failure
"Jul 4, 1958",50-0107,Technical failure
"Jun 26, 1958",HK-391,Technical failure
"Jun 24, 1958",PH545,Technical failure
"Jun 19, 1958",LX-LAA,Technical failure
"Jun 12, 1958",O-11,Technical failure
"Jun 10, 1958",LV-ADV,Technical failure
"Jun 8, 1958",VH-AGG,Technical failure
"May 25, 1958",55-0123,Technical failure
"May 25, 1958",G-AMUV,Technical failure
"May 22, 1958",VV300,Technical failure
"May 16, 1958",G-AGHP,Technical failure
"May 14, 1958",131652,Technical failure
"May 7, 1958",002 red,Technical failure
"May 4, 1958",44-76412,Technical failure
"Apr 29, 1958",CCCP-L7256,Technical failure
"Apr 11, 1958",SP-LPB,Technical failure
"Apr 10, 1958",EC-ABN,Technical failure
"Apr 2, 1958",HC-SND,Technical failure
"Apr 1, 1958",G-ALDV,Technical failure
"Apr 1, 1958",TX194,Technical failure
"Mar 27, 1958",HJ252,Technical failure
"Mar 25, 1958",N5904,Technical failure
"Mar 25, 1958",HZ-AAB,Technical failure
"Mar 22, 1958",54-2308,Technical failure
"Mar 22, 1958",N300E,Technical failure
"Feb 19, 1958",CCCP-L5414,Technical failure
"Feb 11, 1958",56-0610,Technical failure
"Feb 4, 1958",XH118,Technical failure
"Feb 1, 1958",PP-LEM,Technical failure
"Jan 29, 1958",LV-FEW,Technical failure
"Jan 24, 1958",128446,Technical failure
"Jan 16, 1958",PP-CEF,Technical failure
"Jan 15, 1958",N47M,Technical failure
"Jan 15, 1958",G-AOCE,Technical failure
"Jan 9, 1958",EC-APF,Technical failure
"Jan 2, 1958",TX188,Technical failure
"Dec 31, 1957",HK-344X,Technical failure
"Dec 24, 1957",XB-ZEU,Technical failure
"Dec 10, 1957",XA250,Technical failure
"Dec 9, 1957",130291,Technical failure
"Dec 7, 1957",G-AOEO,Technical failure
"Nov 30, 1957",XA273,Technical failure
"Nov 28, 1957",SE-BDP,Technical failure
"Nov 21, 1957",ZK-AYH,Technical failure
"Nov 17, 1957",G-AOHP,Technical failure
"Nov 15, 1957",G-AKNU,Technical failure
"Nov 8, 1957",N90944,Technical failure
"Nov 6, 1957",N10425,Technical failure
"Nov 6, 1957",G-ANCA,Technical failure
"Nov 6, 1957",53-0382,Technical failure
"Nov 4, 1957",PP-AXS,Technical failure
"Nov 2, 1957",F-BHKY,Technical failure
"Oct 28, 1957",EC-ACH,Technical failure
"Oct 26, 1957",EC-AOA,Technical failure
"Oct 11, 1957",16-307,Technical failure
"Oct 11, 1957",L2-2/90,Technical failure
"Oct 3, 1957",OD-ACK,Technical failure
"Oct 1, 1957",CF-HFL,Technical failure
"Sep 30, 1957",JA6011,Technical failure
"Sep 29, 1957",ZK-ALG,Technical failure
"Sep 28, 1957",MM80060,Technical failure
"Sep 20, 1957",WL640,Technical failure
"Sep 14, 1957",WL792,Technical failure
"Aug 30, 1957",JZ-PPX,Technical failure
"Aug 27, 1957",KN649,Technical failure
"Aug 24, 1957",D-COCA,Technical failure
"Aug 22, 1957",VX491,Technical failure
"Aug 21, 1957",TX215,Technical failure
"Aug 16, 1957",PP-VDA,Technical failure
"Aug 7, 1957",CCCP-N662,Technical failure
"Jul 24, 1957",HB-HOF,Technical failure
"Jul 18, 1957",52-2737,Technical failure
"Jul 10, 1957",ET-T-35,Technical failure
"Jul 9, 1957",WV745,Technical failure
"Jul 6, 1957",CF-CRD,Technical failure
"Jun 24, 1957",VH-AGO,Technical failure
"Jun 23, 1957",CF-EPI,Technical failure
"Jun 9, 1957",HA-LIM,Technical failure
"Jun 9, 1957",KP-6,Technical failure
"Jun 3, 1957",43-15995,Technical failure
"May 28, 1957",XK859,Technical failure
"May 27, 1957",G-AKTZ,Technical failure
"May 21, 1957",,Technical failure
"May 10, 1957",128448,Technical failure
"May 10, 1957",51-0254,Technical failure
"May 9, 1957",51-0258,Technical failure
"May 8, 1957",T.2B-251,Technical failure
"May 7, 1957",VW184,Technical failure
"May 1, 1957",G-AJBO,Technical failure
"Apr 17, 1957",141314,Technical failure
"Apr 13, 1957",XA-KAP,Technical failure
"Apr 10, 1957",PP-ANX,Technical failure
"Apr 8, 1957",F-BEIK,Technical failure
"Apr 7, 1957",PP-VCF,Technical failure
"Mar 29, 1957",CCCP-L4967,Technical failure
"Mar 29, 1957",54-2676,Technical failure
"Mar 21, 1957",VH-BUW,Technical failure
"Mar 19, 1957",A65-112,Technical failure
"Mar 17, 1957",2100925,Technical failure
"Mar 14, 1957",G-ALWE,Technical failure
"Feb 27, 1957",ZK-BHT,Technical failure
"Feb 22, 1957",51-0141,Technical failure
"Jan 27, 1957",50-0088,Technical failure
"Jan 22, 1957",WX511,Technical failure
"Jan 8, 1957",CF-HIQ,Technical failure
"Dec 27, 1956",CF-FAR,Technical failure
"Dec 19, 1956",VW840,Technical failure
"Dec 12, 1956",N28366,Technical failure
"Dec 12, 1956",N1662M,Technical failure
"Dec 9, 1956",CF-TFD,Technical failure
"Dec 8, 1956",HK-133,Technical failure
"Nov 28, 1956",52-1015,Technical failure
"Nov 15, 1956",XA-HEG,Technical failure
"Nov 15, 1956",N40404,Technical failure
"Nov 15, 1956",51-13720,Technical failure
"Nov 15, 1956",F-OAOU,Technical failure
"Nov 14, 1956",PH782,Technical failure
"Nov 9, 1956",127705,Technical failure
"Nov 3, 1956",CC-CAH-331,Technical failure
"Nov 2, 1956",CCCP-L4872,Technical failure
"Oct 30, 1956",83003,Technical failure
"Oct 16, 1956",N90943,Technical failure
"Oct 11, 1956",PP-CCF,Technical failure
"Oct 7, 1956",G-AGLR,Technical failure
"Oct 1, 1956",VP-KJK,Technical failure
"Sep 26, 1956",CF-HMW,Technical failure
"Sep 17, 1956",53-0393,Technical failure
"Sep 13, 1956",78003,Technical failure
"Sep 9, 1956",JY-ABV,Technical failure
"Sep 6, 1956",PP-ANK,Technical failure
"Sep 5, 1956",WD165,Technical failure
"Aug 21, 1956",52-1005,Technical failure
"Aug 10, 1956",MM80058,Technical failure
"Aug 8, 1956",N4832V,Technical failure
"Jul 29, 1956",OO-APG,Technical failure
"Jul 12, 1956",PT-ASN,Technical failure
"Jul 6, 1956",51-0220,Technical failure
"Jun 28, 1956",T-5,Technical failure
"Jun 26, 1956",52-2700,Technical failure
"Jun 22, 1956",VV914,Technical failure
"Jun 20, 1956",YV-C-AMS,Technical failure
"Jun 19, 1956",N9642,Technical failure
"May 20, 1956",PP-NBI,Technical failure
"May 15, 1956",N64001,Technical failure
"May 8, 1956",80001,Technical failure
"May 4, 1956",PH647,Technical failure
"May 4, 1956",T-91,Technical failure
"Apr 10, 1956",3666,Technical failure
"Apr 9, 1956",WD483,Technical failure
"Mar 30, 1956",53-3150,Technical failure
"Mar 11, 1956",,Technical failure
"Mar 4, 1956",TX203,Technical failure
"Mar 2, 1956",53-0021,Technical failure
"Feb 25, 1956",PH662,Technical failure
"Feb 24, 1956",YK-AAE,Technical failure
"Feb 20, 1956",N7404,Technical failure
"Feb 18, 1956",G-ANSY,Technical failure
"Feb 17, 1956",VX483,Technical failure
"Feb 16, 1956",OY-DYC,Technical failure
"Feb 16, 1956",53-0384,Technical failure
"Feb 8, 1956",122466,Technical failure
"Feb 6, 1956",2056,Technical failure
"Feb 4, 1956",131703,Technical failure
"Feb 4, 1956",VH-ICA,Technical failure
"Jan 24, 1956",F-BAXT,Technical failure
"Jan 24, 1956",CF-HMU,Technical failure
"Jan 21, 1956",NZ1824,Technical failure
"Jan 17, 1956",CF-GVZ,Technical failure
"Jan 13, 1956",WX547,Technical failure
"Jan 4, 1956",52-1387,Technical failure
"Dec 22, 1955",CF-EPX,Technical failure
"Dec 21, 1955",CCCP-L4981,Technical failure
"Dec 17, 1955",F-BAZG,Technical failure
"Dec 15, 1955",VH-AOG,Technical failure
"Dec 9, 1955",CCCP-L4339,Technical failure
"Dec 2, 1955",T.2B-234,Technical failure
"Dec 1, 1955",PP-CCC,Technical failure
"Nov 30, 1955",52-5881,Technical failure
"Nov 20, 1955",51-0149,Technical failure
"Nov 14, 1955",N172A,Technical failure
"Nov 9, 1955",52-5891,Technical failure
"Nov 5, 1955",XC-ABW,Technical failure
"Oct 31, 1955",59232,Technical failure
"Oct 3, 1955",N67148,Technical failure
"Oct 2, 1955",OB-PAZ-228,Technical failure
"Sep 28, 1955",CCCP-L4712,Technical failure
"Sep 17, 1955",CF-GBT,Technical failure
"Sep 13, 1955",45-8822,Technical failure
"Sep 10, 1955",F-BDRE,Technical failure
"Sep 9, 1955",MM80069,Technical failure
"Sep 8, 1955",N74663,Technical failure
"Sep 6, 1955",51-8142,Technical failure
"Sep 5, 1955",6062,Technical failure
"Sep 1, 1955",45-0893,Technical failure
"Sep 1, 1955",EC-AJX,Technical failure
"Aug 23, 1955",51-8165,Technical failure
"Aug 23, 1955",VH-BNT,Technical failure
"Aug 6, 1955",CCCP-L5057,Technical failure
"Aug 6, 1955",G-AHIG,Technical failure
"Aug 5, 1955",VW140,Technical failure
"Aug 4, 1955",WB492,Technical failure
"Aug 1, 1955",VW143,Technical failure
"Jul 29, 1955",43-48213,Technical failure
"Jul 23, 1955",G-AKSK,Technical failure
"Jul 13, 1955",52-2637,Technical failure
"Jul 3, 1955",XA-FON,Technical failure
"Jul 1, 1955",CCCP-A2641,Technical failure
"Jun 18, 1955",XA-LID,Technical failure
"Jun 7, 1955",52-0891,Technical failure
"May 28, 1955",43-48479,Technical failure
"May 23, 1955",VW834,Technical failure
"May 21, 1955",YV-C-ALU,Technical failure
"May 8, 1955",44-108869,Technical failure
"May 4, 1955",53-0110,Technical failure
"Apr 28, 1955",PH717,Technical failure
"Apr 28, 1955",CF-ECJ,Technical failure
"Apr 20, 1955",WV712,Technical failure
"Apr 20, 1955",53-8165,Technical failure
"Apr 18, 1955",51-2645,Technical failure
"Apr 16, 1955",51-8085,Technical failure
"Apr 8, 1955",G-AMAB,Technical failure
"Apr 2, 1955",WD163,Technical failure
"Apr 1, 1955",51-2665,Technical failure
"Mar 28, 1955",WJ888,Technical failure
"Mar 26, 1955",N1032V,Technical failure
"Mar 15, 1955",MM61769,Technical failure
"Mar 11, 1955",WV698,Technical failure
"Mar 10, 1955",51-8095,Technical failure
"Mar 1, 1955",WB463,Technical failure
"Mar 1, 1955",52-5886,Technical failure
"Feb 26, 1955",LQ-XWW,Technical failure
"Feb 23, 1955",VP-YKO,Technical failure
"Feb 23, 1955",53-0191,Technical failure
"Feb 5, 1955",VR-NAD,Technical failure
"Feb 4, 1955",YI-ABJ,Technical failure
"Jan 26, 1955",45-0569,Technical failure
"Jan 20, 1955",2-P-22,Technical failure
"Jan 17, 1955",131639,Technical failure
"Jan 11, 1955",52-5949,Technical failure
"Dec 29, 1954",HK-459,Technical failure
"Dec 22, 1954",N24320,Technical failure
"Dec 18, 1954",VH-BMD,Technical failure
"Dec 17, 1954",N44M,Technical failure
"Dec 6, 1954",52-5921,Technical failure
"Dec 5, 1954",CCCP-L1320,Technical failure
"Nov 24, 1954",SE-BTU,Technical failure
"Nov 5, 1954",N9201H,Technical failure
"Nov 4, 1954",50-0189,Technical failure
"Oct 31, 1954",128441,Technical failure
"Oct 25, 1954",WF384,Technical failure
"Oct 20, 1954",51-2552,Technical failure
"Oct 13, 1954",AP-AAF,Technical failure
"Oct 11, 1954",L2-10/96,Technical failure
"Oct 8, 1954",51-16500,Technical failure
"Oct 8, 1954",TG-AJA,Technical failure
"Oct 7, 1954",51-11846,Technical failure
"Oct 6, 1954",52-5859,Technical failure
"Oct 4, 1954",PK284,Technical failure
"Sep 30, 1954",XA271,Technical failure
"Sep 29, 1954",6516,Technical failure
"Sep 21, 1954",45-57744,Technical failure
"Sep 20, 1954",44-78035,Technical failure
"Sep 12, 1954",52-1052,Technical failure
"Aug 30, 1954",F-BEHS,Technical failure
"Aug 29, 1954",T.2-162,Technical failure
"Aug 28, 1954",44-92097,Technical failure
"Aug 28, 1954",CR-LCJ,Technical failure
"Aug 24, 1954",A65-50,Technical failure
"Aug 18, 1954",PH622,Technical failure
"Aug 18, 1954",VQ-FAO,Technical failure
"Aug 16, 1954",F-VNAI,Technical failure
"Aug 11, 1954",,Technical failure
"Aug 9, 1954",VH-AOP,Technical failure
"Aug 6, 1954",51-0325,Technical failure
"Aug 4, 1954",VX557,Technical failure
"Aug 3, 1954",F-BGNA,Technical failure
"Aug 2, 1954",G-AGUR,Technical failure
"Jul 30, 1954",OD-ABH,Technical failure
"Jul 25, 1954",VP-YKF,Technical failure
"Jul 19, 1954",MM80059,Technical failure
"Jul 14, 1954",78002,Technical failure
"Jul 12, 1954",O-36,Technical failure
"Jul 8, 1954",PH760,Technical failure
"Jul 2, 1954",2901,Technical failure
"Jul 2, 1954",4X-AEH,Technical failure
"Jun 26, 1954",G-AGNY,Technical failure
"Jun 23, 1954",CCCP-I403,Technical failure
"Jun 20, 1954",51-8273,Technical failure
"Jun 19, 1954",HB-IRW,Technical failure
"Jun 15, 1954",N30070,Technical failure
"Jun 5, 1954",A65-120,Technical failure
"May 24, 1954",5129,Technical failure
"May 22, 1954",ZK-AQT,Technical failure
"May 21, 1954",126511,Technical failure
"May 17, 1954",CU-C556,Technical failure
"May 13, 1954",PT-AMR,Technical failure
"May 11, 1954",EC-ABA,Technical failure
"May 3, 1954",126516,Technical failure
"May 3, 1954",SE-BXT,Technical failure
"May 1, 1954",OO-CFD,Technical failure
"Apr 30, 1954",VT-DEM,Technical failure
"Apr 30, 1954",F-OAMA,Technical failure
"Apr 26, 1954",VQ-FAL,Technical failure
"Apr 25, 1954",F-BCYJ,Technical failure
"Apr 24, 1954",SU-AHZ,Technical failure
"Apr 12, 1954",WF428,Technical failure
"Apr 10, 1954",I-LENT,Technical failure
"Apr 8, 1954",G-ALYY,Technical failure
"Apr 8, 1954",44-87742,Technical failure
"Apr 7, 1954",,Technical failure
"Mar 30, 1954",51-2679,Technical failure
"Mar 18, 1954",AK-4,Technical failure
"Mar 4, 1954",PP-LPH,Technical failure
"Mar 3, 1954",OY-ACZ,Technical failure
"Feb 26, 1954",44-92069,Technical failure
"Feb 26, 1954",PH844,Technical failure
"Feb 26, 1954",ZK-AWW,Technical failure
"Feb 22, 1954",NM576,Technical failure
"Feb 21, 1954",WJ494,Technical failure
"Feb 14, 1954",48-0569,Technical failure
"Feb 8, 1954",50-0163,Technical failure
"Feb 4, 1954",G-ALRX,Technical failure
"Feb 1, 1954",44-78027,Technical failure
"Jan 31, 1954",HK-603,Technical failure
"Jan 30, 1954",RN290,Technical failure
"Jan 20, 1954",N94244,Technical failure
"Jan 20, 1954",VL282,Technical failure
"Jan 14, 1954",43-22590,Technical failure
"Jan 10, 1954",G-ALYP,Technical failure
"Jan 10, 1954",VP-YKT,Technical failure
"Jan 6, 1954",OD-ABU,Technical failure
"Jan 5, 1954",N3138,Technical failure
"Jan 4, 1954",127752,Technical failure
"Dec 31, 1953",64089,Technical failure
"Dec 30, 1953",17503,Technical failure
"Dec 29, 1953",PH812,Technical failure
"Dec 27, 1953",RN302,Technical failure
"Dec 17, 1953",44-87741,Technical failure
"Dec 16, 1953",VX575,Technical failure
"Dec 12, 1953",VT-CHF,Technical failure
"Nov 27, 1953",51-2621,Technical failure
"Nov 25, 1953",PH813,Technical failure
"Nov 25, 1953",A81-2,Technical failure
"Nov 17, 1953",51-8163,Technical failure
"Nov 8, 1953",52-6099,Technical failure
"Oct 27, 1953",127764,Technical failure
"Oct 26, 1953",VH-CFA,Technical failure
"Oct 23, 1953",MM61651,Technical failure
"Oct 20, 1953",VH-URY,Technical failure
"Oct 19, 1953",128389,Technical failure
"Oct 14, 1953",OO-AWQ,Technical failure
"Oct 13, 1953",F-DABD,Technical failure
"Oct 12, 1953",VW804,Technical failure
"Oct 10, 1953",122935,Technical failure
"Oct 9, 1953",124901,Technical failure
"Oct 3, 1953",LN-SUW,Technical failure
"Sep 25, 1953",TC-EGE,Technical failure
"Sep 22, 1953",N1673M,Technical failure
"Sep 14, 1953",PP-LDM,Technical failure
"Sep 13, 1953",KP-2,Technical failure
"Sep 12, 1953",2051,Technical failure
"Sep 8, 1953",XH-TAR,Technical failure
"Sep 6, 1953",N6214C,Technical failure
"Aug 27, 1953",48-092,Technical failure
"Aug 23, 1953",48-0348,Technical failure
"Aug 17, 1953",N69905,Technical failure
"Aug 12, 1953",G-AIVG,Technical failure
"Aug 9, 1953",2837,Technical failure
"Aug 9, 1953",51-2542,Technical failure
"Aug 5, 1953",52-1369,Technical failure
"Aug 4, 1953",VX515,Technical failure
"Aug 3, 1953",F-BAZS,Technical failure
"Jul 30, 1953",84760,Technical failure
"Jul 29, 1953",VW180,Technical failure
"Jul 29, 1953",CF-HCG,Technical failure
"Jul 22, 1953",TG613,Technical failure
"Jul 20, 1953",CCCP-H1014,Technical failure
"Jul 15, 1953",121455,Technical failure
"Jul 13, 1953",126503,Technical failure
"Jul 11, 1953",V-AX,Technical failure
"Jul 7, 1953",128440,Technical failure
"Jul 6, 1953",43-35565,Technical failure
"Jul 5, 1953",G-AIYP,Technical failure
"Jul 2, 1953",85158,Technical failure
"Jun 28, 1953",,Technical failure
"Jun 18, 1953",51-0137,Technical failure
"Jun 16, 1953",VW846,Technical failure
"Jun 15, 1953",CC-CLD,Technical failure
"Jun 9, 1953",T-6,Technical failure
"May 25, 1953",51-7173,Technical failure
"May 24, 1953",N53596,Technical failure
"May 19, 1953",49-0283,Technical failure
"May 17, 1953",VW810,Technical failure
"May 12, 1953",,Technical failure
"May 11, 1953",,Technical failure
"Apr 30, 1953",MM61197,Technical failure
"Apr 16, 1953",F-BESS,Technical failure
"Apr 14, 1953",VT-AUJ,Technical failure
"Apr 10, 1953",F-BALE,Technical failure
"Apr 10, 1953",VP-JBC,Technical failure
"Apr 3, 1953",VH-BNS,Technical failure
"Mar 29, 1953",44-61747,Technical failure
"Mar 27, 1953",N229A,Technical failure
"Mar 27, 1953",HC-SJA,Technical failure
"Mar 27, 1953",PP-SLG,Technical failure
"Mar 26, 1953",WJ938,Technical failure
"Mar 15, 1953",PP-AJA,Technical failure
"Mar 11, 1953",49-0160,Technical failure
"Feb 27, 1953",39357,Technical failure
"Feb 18, 1953",51-13719,Technical failure
"Feb 17, 1953",F-RAEG,Technical failure
"Feb 14, 1953",49-0126,Technical failure
"Feb 13, 1953",F-BGPM,Technical failure
"Feb 12, 1953",1515,Technical failure
"Feb 7, 1953",MM61772,Technical failure
"Feb 7, 1953",51-5719,Technical failure
"Feb 4, 1953",VH-BDD,Technical failure
"Jan 29, 1953",HK-605,Technical failure
